ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
DECK,92,2026-08-07,beta_hedged,0.496800041893459,0.5380710659898477,3,0.0,97.45999908447266,234541083.0,vol_21d(-0.008) | vol_63d_rank(+0.003) | vol_63d(-0.003)
MAS,93,2026-08-07,beta_hedged,0.49650696952245377,0.5329949238578681,3,0.0,77.51000213623047,218384733.0,vol_21d(-0.006) | vol_63d(+0.005) | vol_21d_rank(-0.005)
EFX,94,2026-08-07,beta_hedged,0.4962532113429347,0.5279187817258884,3,0.0,182.55999755859375,309780105.0,vol_21d(-0.006) | vol_63d(+0.006) | close_vs_sma200(-0.004)
FAST,95,2026-08-07,beta_hedged,0.4956306696296171,0.5228426395939086,3,0.0,51.84000015258789,429283019.0,vol_63d_rank(-0.012) | vol_63d(-0.009) | close_vs_sma200(+0.008)
ROP,96,2026-08-07,beta_hedged,0.49522664072315825,0.5177664974619289,3,0.0,402.25,335851598.0,vol_63d(-0.008) | vol_21d(-0.007) | close_vs_sma50(+0.005)
IR,97,2026-08-07,beta_hedged,0.4951160496377458,0.5126903553299492,3,0.0,86.97000122070312,381883009.0,vol_63d(-0.008) | vol_21d(-0.007) | vol_63d_rank(+0.003)
ADSK,98,2026-08-07,beta_hedged,0.4949391155963721,0.5076142131979695,3,0.0,249.0800018310547,478306749.0,ret_10d(-0.012) | close_vs_sma50(+0.006) | vol_63d(+0.006)
MKC,99,2026-08-07,beta_hedged,0.49426003123041723,0.5025380710659898,3,0.0,52.959999084472656,173747383.0,vol_63d(-0.007) | close_vs_sma200(-0.004) | amihud(+0.003)
SYK,100,2026-08-07,beta_hedged,0.49411447618549703,0.49746192893401014,3,0.0,339.0299987792969,825720384.0,vol_63d(-0.007) | vol_21d(-0.006) | vol_63d_rank(+0.004)
TXN,101,2026-08-07,beta_hedged,0.49405001775482127,0.49238578680203043,3,0.0,286.0799865722656,2234466247.0,amihud(-0.005) | close_vs_sma200(+0.004) | vol_21d(-0.004)
TSCO,102,2026-08-07,beta_hedged,0.49377822355672624,0.4873096446700508,3,0.0,34.560001373291016,334315088.0,vol_63d(-0.006) | ret_5d(-0.005) | close_vs_sma200(-0.004)
