ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
DVN,114,2026-09-02,beta_hedged,0.4973663820347376,0.4205128205128205,3,0.0,49.029998779296875,490461503.0,vol_63d(-0.004) | vol_21d(-0.003) | close_vs_sma50(+0.003)
XOM,115,2026-09-02,beta_hedged,0.4973193727068234,0.4153846153846154,3,0.0,164.14999389648438,2259880609.0,vol_63d(-0.004) | vol_63d_rank(-0.002) | close_vs_sma50(+0.001)
ROST,116,2026-09-02,beta_hedged,0.49725438219633683,0.41025641025641024,3,0.0,230.85000610351562,661094941.0,vol_63d(-0.004) | vol_63d_rank(-0.002) | vol_10d(+0.001)
A,117,2026-09-02,beta_hedged,0.4971988614612102,0.40512820512820513,3,0.0,151.38999938964844,326578857.0,vol_63d(-0.005) | vol_63d_rank(-0.002) | close_vs_sma50(+0.001)
EMR,118,2026-09-02,beta_hedged,0.49712121975795687,0.4,2,0.0,148.97999572753906,396816020.0,vol_63d(-0.004) | close_vs_sma200(-0.002) | ret_63d(-0.001)
JBHT,119,2026-09-02,beta_hedged,0.49701016987785757,0.39487179487179486,2,0.0,260.2200012207031,221496633.0,vol_21d(-0.004) | vol_63d(-0.004) | vol_63d_rank(+0.003)
JCI,120,2026-09-02,beta_hedged,0.496980151175133,0.38974358974358975,2,0.0,139.25,439549997.0,vol_63d(-0.005) | close_vs_sma200(-0.002) | vol_21d(+0.001)
ROL,121,2026-09-02,beta_hedged,0.4968465310728741,0.38461538461538464,2,0.0,35.709999084472656,166686453.0,sharpe_mom_63(+0.006) | vol_63d(-0.005) | close_vs_sma200(-0.004)
VMC,122,2026-09-02,beta_hedged,0.4966869626721471,0.37948717948717947,2,0.0,263.92999267578125,235132787.0,vol_63d(-0.004) | close_vs_sma200(-0.003) | vol_21d(+0.001)
CSCO,123,2026-09-02,beta_hedged,0.4966011471514858,0.37435897435897436,2,0.0,109.45999908447266,2305456503.0,vol_63d(-0.004) | vol_63d_rank(+0.003) | vol_21d(-0.003)
ALB,124,2026-09-02,beta_hedged,0.49633281970120025,0.36923076923076925,2,0.0,137.75,275927690.0,vol_21d(-0.004) | ret_63d_rank(-0.003) | close_vs_sma200(-0.003)
XYL,125,2026-09-02,beta_hedged,0.49633047617283693,0.3641025641025641,2,0.0,106.73999786376953,185109764.0,vol_63d(-0.004) | ret_21d_rank(+0.003) | close_vs_sma200(-0.003)
VRSN,126,2026-09-02,beta_hedged,0.49631760770140954,0.358974358974359,2,0.0,289.9599914550781,206088568.0,vol_63d_rank(+0.004) | vol_63d(-0.003) | ret_63d(-0.002)
AAPL,127,2026-09-02,beta_hedged,0.496213165466727,0.35384615384615387,2,0.0,324.9599914550781,12659890390.0,vol_63d(-0.004) | vol_63d_rank(+0.003) | vol_21d(+0.002)
BSX,128,2026-09-02,beta_hedged,0.49613057493308116,0.3487179487179487,2,0.0,48.369998931884766,937723619.0,vol_63d(-0.004) | vol_21d(-0.003) | vol_63d_rank(+0.003)
ROK,129,2026-09-02,beta_hedged,0.49598885040141977,0.3435897435897436,2,0.0,425.3599853515625,332247711.0,vol_63d(-0.004) | vol_21d(-0.002) | ret_21d_rank(+0.002)
EBAY,130,2026-09-02,beta_hedged,0.4959855035985809,0.3384615384615385,2,0.0,106.69999694824219,485852830.0,vol_63d(-0.003) | vol_63d_rank(+0.002) | close_vs_sma200(-0.001)
VLTO,131,2026-09-02,beta_hedged,0.49596124355774324,0.3333333333333333,2,0.0,97.20999908447266,139354115.0,vol_63d(-0.005) | vol_63d_rank(-0.003) | sharpe_mom_63(+0.002)
CDW,132,2026-09-02,beta_hedged,0.49585812437471866,0.3282051282051282,2,0.0,148.6699981689453,274020911.0,vol_21d(-0.004) | vol_63d_rank(+0.003) | vol_63d(+0.002)
WAB,133,2026-09-02,beta_hedged,0.4958199128642851,0.3230769230769231,2,0.0,279.80999755859375,267547738.0,vol_63d(-0.005) | close_vs_sma200(-0.001) | vol_63d_rank(+0.001)
IEX,134,2026-09-02,beta_hedged,0.4956634898808203,0.31794871794871793,2,0.0,224.61000061035156,152866586.0,vol_63d(-0.005) | vol_63d_rank(-0.005) | vol_21d(+0.001)
COO,135,2026-09-02,beta_hedged,0.49559734807389066,0.3128205128205128,2,0.0,69.7300033569336,120333339.0,vol_63d(-0.005) | close_vs_sma200(-0.004) | vol_10d(-0.002)
IDXX,136,2026-09-02,beta_hedged,0.49553027436266683,0.3076923076923077,2,0.0,538.989990234375,358081783.0,vol_63d(-0.004) | vol_21d(-0.003) | vol_63d_rank(+0.002)
HAL,137,2026-09-02,beta_hedged,0.49541034606524104,0.30256410256410254,2,0.0,37.630001068115234,368036050.0,close_vs_sma50(+0.004) | vol_21d(-0.004) | vol_63d(-0.003)
CTAS,138,2026-09-02,beta_hedged,0.4950860136463627,0.29743589743589743,2,0.0,198.08999633789062,350860224.0,vol_63d(-0.005) | vol_21d_rank(-0.002) | sharpe_mom_63(+0.001)
AMD,139,2026-09-02,beta_hedged,0.4950504422853553,0.2923076923076923,2,0.0,457.05999755859375,9713857579.0,vol_21d(-0.003) | vol_63d_rank(+0.002) | ret_10d(+0.002)
