ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
CF,123,2026-08-11,beta_hedged,0.4908060422029558,0.3612565445026178,2,0.0,117.80000305175781,273181373.0,vol_21d(-0.006) | vol_63d(-0.006) | vol_63d_rank(+0.003)
AAPL,124,2026-08-11,beta_hedged,0.49068352824668576,0.35602094240837695,2,0.0,304.9100036621094,18167489928.0,vol_63d(-0.009) | vol_21d(-0.007) | amihud(+0.002)
WY,125,2026-08-11,beta_hedged,0.49063194532173765,0.3507853403141361,2,0.0,25.020000457763672,135389920.0,vol_63d(-0.007) | vol_21d(-0.003) | close_vs_sma200(-0.002)
UBER,126,2026-08-11,beta_hedged,0.49031821025277494,0.34554973821989526,2,0.0,78.54000091552734,1490421009.0,vol_21d(-0.004) | vol_63d(-0.004) | close_vs_sma200(-0.003)
BIIB,127,2026-08-11,beta_hedged,0.49011845601366444,0.3403141361256545,2,0.0,203.88999938964844,257089852.0,vol_21d(-0.006) | vol_63d(-0.004) | vol_63d_rank(+0.004)
FAST,128,2026-08-11,beta_hedged,0.48999444846332585,0.33507853403141363,2,0.0,52.380001068115234,433261271.0,vol_63d_rank(-0.014) | vol_63d(-0.010) | close_vs_sma200(+0.005)
APD,129,2026-08-11,beta_hedged,0.4895699954508641,0.3298429319371728,2,0.0,309.30999755859375,324271054.0,vol_63d(-0.007) | vol_63d_rank(-0.002) | vol_21d(+0.001)
TMO,130,2026-08-11,beta_hedged,0.48943137337611936,0.32460732984293195,2,0.0,605.0,1307370220.0,vol_63d(-0.008) | vol_21d(-0.004) | close_vs_sma50(+0.002)
CTVA,131,2026-08-11,beta_hedged,0.489417660879424,0.3193717277486911,2,0.0,76.22000122070312,386555181.0,vol_63d(-0.009) | vol_10d(+0.005) | vol_21d(-0.005)
DVN,132,2026-08-11,beta_hedged,0.48873077784494806,0.31413612565445026,2,0.0,45.400001525878906,454399798.0,vol_21d(-0.006) | vol_63d(-0.006) | vol_63d_rank(+0.003)
MKC,133,2026-08-11,beta_hedged,0.48809842838359563,0.3089005235602094,2,0.0,52.88999938964844,163859718.0,vol_63d(-0.007) | vol_63d_rank(-0.004) | close_vs_sma200(-0.003)
ABT,134,2026-08-11,beta_hedged,0.4877370577561786,0.3036649214659686,2,0.0,109.72000122070312,1195908129.0,vol_63d(-0.009) | vol_21d(-0.004) | mkt_breadth(-0.002)
UPS,135,2026-08-11,beta_hedged,0.48742704115316604,0.29842931937172773,2,0.0,104.43000030517578,619640077.0,vol_63d(-0.009) | vol_21d(-0.005) | close_vs_sma200(-0.002)
PPG,136,2026-08-11,beta_hedged,0.4874102580222724,0.2931937172774869,2,0.0,116.16000366210938,219944407.0,vol_21d(-0.008) | vol_63d(-0.007) | vol_63d_rank(+0.003)
TXN,137,2026-08-11,beta_hedged,0.4873172914897576,0.2879581151832461,2,0.0,281.239990234375,2226499268.0,vol_63d_rank(+0.004) | amihud(-0.004) | ret_63d(-0.004)
CARR,138,2026-08-11,beta_hedged,0.48718505653932614,0.28272251308900526,2,0.0,63.619998931884766,473323941.0,vol_21d(-0.005) | vol_63d(-0.004) | close_vs_sma200(-0.003)
GOOGL,139,2026-08-11,beta_hedged,0.4867374491720739,0.2774869109947644,2,0.0,343.79998779296875,11349101042.0,vol_21d(-0.006) | vol_63d(-0.004) | vol_63d_rank(+0.003)
