ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
POOL,100,2026-09-17,beta_hedged,0.5032245952959138,0.48704663212435234,3,0.0,167.64999389648438,124762282.0,vol_63d_rank(+0.006) | vol_63d(-0.006) | close_vs_sma200(-0.004)
CTVA,101,2026-09-17,beta_hedged,0.5031565585391663,0.48186528497409326,3,0.0,81.52999877929688,420499243.0,vol_63d(-0.007) | vol_63d_rank(+0.006) | vol_10d(-0.002)
DHR,102,2026-09-17,beta_hedged,0.5030147895477328,0.47668393782383417,3,0.0,212.5,703451235.0,vol_63d(-0.008) | vol_63d_rank(+0.006) | ret_63d_rank(+0.002)
TEL,103,2026-09-17,beta_hedged,0.5028808707944992,0.47150259067357514,3,0.0,206.60000610351562,409267072.0,vol_63d(-0.006) | vol_63d_rank(+0.006) | mkt_dispersion(+0.002)
ODFL,104,2026-09-17,beta_hedged,0.5023164811810662,0.46632124352331605,3,0.0,175.08999633789062,321324245.0,vol_63d(-0.007) | sharpe_mom_63(+0.003) | mkt_breadth(+0.001)
WAT,105,2026-09-17,beta_hedged,0.5016363252820665,0.46113989637305697,3,0.0,429.7200012207031,309542905.0,vol_63d(-0.008) | close_vs_sma200(+0.006) | vol_63d_rank(-0.006)
CDNS,106,2026-09-17,beta_hedged,0.5016271444445626,0.45595854922279794,3,0.0,280.760009765625,747211756.0,vol_63d(-0.006) | vol_63d_rank(+0.005) | vol_21d(-0.002)
MKC,107,2026-09-17,beta_hedged,0.5012671083214443,0.45077720207253885,3,0.0,49.70000076293945,141302571.0,vol_63d(-0.007) | vol_63d_rank(+0.003) | close_vs_sma200(-0.002)
JCI,108,2026-09-17,beta_hedged,0.5010432581866121,0.44559585492227977,3,0.0,141.05999755859375,453776189.0,vol_63d(-0.006) | vol_63d_rank(+0.004) | vol_21d_rank(+0.001)
RVTY,109,2026-09-17,beta_hedged,0.5002211473298738,0.44041450777202074,3,0.0,146.72999572753906,247245166.0,vol_63d_rank(+0.008) | vol_63d(-0.005) | close_vs_sma200(+0.004)
ADI,110,2026-09-17,beta_hedged,0.5001749161861593,0.43523316062176165,3,0.0,362.6499938964844,1313412490.0,vol_63d_rank(+0.005) | vol_63d(-0.004) | amihud(-0.003)
GEHC,111,2026-09-17,beta_hedged,0.49926551494013166,0.43005181347150256,3,0.0,64.44499969482422,195932344.0,vol_63d(-0.007) | vol_63d_rank(+0.006) | close_vs_sma200(-0.003)
PODD,112,2026-09-17,beta_hedged,0.49909511309786075,0.42487046632124353,3,0.0,141.5500030517578,251937913.0,vol_63d(+0.014) | close_vs_sma200(-0.008) | mkt_breadth(-0.004)
ROL,113,2026-09-17,beta_hedged,0.4990578237242622,0.41968911917098445,3,0.0,33.0,165703766.0,vol_63d(-0.006) | close_vs_sma200(-0.005) | vol_63d_rank(+0.003)
EMR,114,2026-09-17,beta_hedged,0.4989476478801844,0.41450777202072536,3,0.0,147.39999389648438,320797194.0,vol_63d(-0.007) | vol_63d_rank(+0.004) | close_vs_sma200(-0.001)
AOS,115,2026-09-17,beta_hedged,0.4987333916617909,0.40932642487046633,3,0.0,56.93000030517578,79599611.0,vol_63d(-0.008) | vol_21d(+0.002) | mkt_dispersion(+0.002)
CLX,116,2026-09-17,beta_hedged,0.4983199486326164,0.40414507772020725,3,0.0,85.0,293726574.0,vol_63d(-0.006) | ret_21d_rank(-0.006) | vol_63d_rank(+0.005)
DECK,117,2026-09-17,beta_hedged,0.49815758248559755,0.39896373056994816,2,0.0,79.70999908447266,253756301.0,vol_63d_rank(+0.006) | vol_63d(-0.005) | close_vs_sma200(-0.004)
LLY,118,2026-09-17,beta_hedged,0.497813497188992,0.39378238341968913,2,0.0,1152.43994140625,2846155328.0,vol_63d(-0.006) | vol_63d_rank(+0.005) | vol_10d(-0.002)
MCK,119,2026-09-17,beta_hedged,0.49757785531917903,0.38860103626943004,2,0.0,879.5700073242188,808789100.0,vol_63d(-0.008) | vol_63d_rank(+0.005) | vol_ratio(-0.002)
IR,120,2026-09-17,beta_hedged,0.4974696213753784,0.38341968911917096,2,0.0,72.6500015258789,270348441.0,vol_63d(-0.007) | vol_63d_rank(+0.003) | close_vs_sma200(-0.002)
CEG,121,2026-09-17,beta_hedged,0.497463585020258,0.37823834196891193,2,0.0,262.79998779296875,709345098.0,vol_63d(-0.008) | vol_63d_rank(+0.005) | close_vs_sma200(-0.002)
SLB,122,2026-09-17,beta_hedged,0.4973887476980372,0.37305699481865284,2,0.0,52.08000183105469,764240713.0,vol_63d(-0.007) | vol_63d_rank(+0.005) | vol_21d(-0.001)
STE,123,2026-09-17,beta_hedged,0.49735077390900423,0.36787564766839376,2,0.0,208.0399932861328,147875920.0,vol_63d(-0.007) | ret_21d_rank(+0.002) | close_vs_sma200(-0.002)
WAB,124,2026-09-17,beta_hedged,0.497167489091533,0.3626943005181347,2,0.0,278.82000732421875,223782614.0,vol_63d(-0.008) | vol_63d_rank(+0.004) | vol_10d(-0.002)
VMC,125,2026-09-17,beta_hedged,0.4969021069917668,0.35751295336787564,2,0.0,244.5,257312947.0,vol_63d(-0.007) | close_vs_sma200(-0.003) | vol_10d(-0.002)
ADM,126,2026-09-17,beta_hedged,0.49686283458012886,0.35233160621761656,2,0.0,88.08999633789062,306870906.0,vol_63d(-0.009) | vol_63d_rank(-0.009) | close_vs_sma200(+0.005)
NVDA,127,2026-09-17,beta_hedged,0.4965242701737924,0.3471502590673575,2,0.0,219.33999633789062,28479053358.0,vol_63d_rank(+0.004) | vol_63d(-0.003) | amihud(-0.002)
CSCO,128,2026-09-17,beta_hedged,0.4962093610493512,0.34196891191709844,2,0.0,110.23999786376953,1531255215.0,vol_63d(-0.006) | vol_63d_rank(+0.005) | amihud(-0.002)
