ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
SLB,116,2026-08-14,beta_hedged,0.4930004953870721,0.3817204301075269,2,0.0,53.77000045776367,616780112.0,vol_63d(-0.005) | vol_63d_rank(+0.005) | vol_21d(-0.002)
ADI,117,2026-08-14,beta_hedged,0.4929684556690768,0.3763440860215054,2,0.0,389.3900146484375,1424633068.0,ret_10d(-0.003) | vol_63d_rank(+0.003) | bb_position(-0.003)
ADM,118,2026-08-14,beta_hedged,0.4927766382666259,0.3709677419354839,2,0.0,80.44999694824219,337459668.0,vol_63d(-0.006) | vol_63d_rank(-0.004) | ret_21d_rank(+0.002)
SYK,119,2026-08-14,beta_hedged,0.4921551853225043,0.3655913978494624,2,0.0,339.2099914550781,763654514.0,vol_63d(-0.006) | vol_63d_rank(+0.004) | vol_21d(-0.004)
GNRC,120,2026-08-14,beta_hedged,0.49213404193009175,0.3602150537634409,2,0.0,219.3000030517578,255398447.0,vol_63d(+0.010) | mkt_dispersion(+0.006) | ret_10d(-0.006)
HAL,121,2026-08-14,beta_hedged,0.49210350620815,0.3548387096774194,2,0.0,34.41999816894531,405708383.0,vol_63d(-0.004) | vol_21d(-0.004) | vol_63d_rank(+0.004)
MKC,122,2026-08-14,beta_hedged,0.4920779667556158,0.34946236559139787,2,0.0,54.66999816894531,156369750.0,vol_63d(-0.008) | vol_63d_rank(-0.003) | close_vs_sma200(-0.002)
IR,123,2026-08-14,beta_hedged,0.4916112973228719,0.34408602150537637,2,0.0,83.33999633789062,374902832.0,vol_63d(-0.007) | vol_21d(-0.003) | close_vs_sma200(-0.003)
CLX,124,2026-08-14,beta_hedged,0.49136310257841814,0.3387096774193548,2,0.0,105.69999694824219,271999509.0,vol_63d(-0.006) | vol_21d(-0.004) | vol_63d_rank(+0.004)
UBER,125,2026-08-14,beta_hedged,0.4913562460670848,0.3333333333333333,2,0.0,75.94999694824219,1502341930.0,vol_63d_rank(+0.004) | vol_21d(-0.003) | vol_63d(-0.003)
